1    Input Finished. Beginning initialisation.
0  2.999000E+00  -2.000000E+01 
1  2.998000E+00  -8.592460E+00 
2  2.997000E+00  -8.290276E+00 
3  2.996000E+00  -8.112993E+00 
4  2.995000E+00  -7.986824E+00 
5  2.994000E+00  -7.888646E+00 
6  2.993000E+00  -7.808157E+00 
7  2.992000E+00  -7.739865E+00 
8  2.991000E+00  -7.680488E+00 
9  2.990000E+00  -7.627912E+00 
10  2.989000E+00  -7.580692E+00 
11  2.988000E+00  -7.537796E+00 
12  2.987000E+00  -7.498465E+00 
13  2.986000E+00  -7.462120E+00 
14  2.985000E+00  -7.428312E+00 
15  2.984000E+00  -7.396685E+00 
16  2.983000E+00  -7.366951E+00 
17  2.982000E+00  -7.338876E+00 
18  2.981000E+00  -7.312265E+00 
19  2.980000E+00  -7.286954E+00 
20  2.979000E+00  -7.262806E+00 
21  2.978000E+00  -7.239680E+00 
22  2.977000E+00  -7.217460E+00 
23  2.976000E+00  -7.196070E+00 
24  2.975000E+00  -7.175442E+00 
25  2.974000E+00  -7.155516E+00 
26  2.973000E+00  -7.136241E+00 
27  2.972000E+00  -7.117570E+00 
28  2.971000E+00  -7.099461E+00 
29  2.970000E+00  -7.081875E+00 
30  2.969000E+00  -7.064780E+00 
31  2.968000E+00  -7.048144E+00 
32  2.967000E+00  -7.031939E+00 
33  2.966000E+00  -7.016142E+00 
34  2.965000E+00  -7.000731E+00 
35  2.964000E+00  -6.985685E+00 
36  2.963000E+00  -6.970986E+00 
37  2.962000E+00  -6.956616E+00 
38  2.961000E+00  -6.942562E+00 
39  2.960000E+00  -6.928806E+00 
40  2.959000E+00  -6.915338E+00 
41  2.958000E+00  -6.902152E+00 
42  2.957000E+00  -6.889244E+00 
43  2.956000E+00  -6.876599E+00 
44  2.955000E+00  -6.864200E+00 
45  2.954000E+00  -6.852036E+00 
46  2.953000E+00  -6.840093E+00 
47  2.952000E+00  -6.828359E+00 
48  2.951000E+00  -6.816824E+00 
49  2.950000E+00  -6.805476E+00 
50  2.949000E+00  -6.794308E+00 
51  2.948000E+00  -6.783301E+00 
52  2.947000E+00  -6.772442E+00 
53  2.946000E+00  -6.761729E+00 
54  2.945000E+00  -6.751158E+00 
55  2.944000E+00  -6.740725E+00 
56  2.943000E+00  -6.730429E+00 
57  2.942000E+00  -6.720265E+00 
58  2.941000E+00  -6.710232E+00 
59  2.940000E+00  -6.700327E+00 
60  2.939000E+00  -6.690548E+00 
61  2.938000E+00  -6.680902E+00 
62  2.937000E+00  -6.671394E+00 
63  2.936000E+00  -6.662016E+00 
64  2.935000E+00  -6.652762E+00 
65  2.934000E+00  -6.643624E+00 
66  2.933000E+00  -6.634597E+00 
